time,cpu_usage,memory_usage
2024-01-12 08:35:45,50.8,46.0
2024-01-12 08:35:50,50.8,45.9
2024-01-12 08:35:55,50.8,45.9
2024-01-12 08:36:00,51.1,45.9
2024-01-12 08:36:05,50.6,45.9
2024-01-12 08:36:10,50.8,45.9
2024-01-12 08:36:15,50.7,45.9
2024-01-12 08:36:20,50.5,45.9
2024-01-12 08:36:25,50.9,45.9
2024-01-12 08:36:30,50.7,45.9
2024-01-12 08:36:35,51.0,45.9
2024-01-12 08:36:40,51.0,45.9
2024-01-12 08:36:45,50.9,45.9
2024-01-12 08:36:50,50.8,45.9
2024-01-12 08:36:55,50.6,45.9
2024-01-12 08:37:00,50.6,45.9
2024-01-12 08:37:05,50.5,45.9
2024-01-12 08:37:10,51.0,45.9
2024-01-12 08:37:15,50.7,45.9
2024-01-12 08:37:20,50.9,45.9
2024-01-12 08:37:25,51.2,45.9
2024-01-12 08:37:30,50.7,45.9
2024-01-12 08:37:35,50.9,45.9
2024-01-12 08:37:40,50.6,45.9
2024-01-12 08:37:45,50.8,45.9
2024-01-12 08:37:50,50.7,45.9
2024-01-12 08:37:55,50.7,45.9
2024-01-12 08:38:00,50.7,45.9
2024-01-12 08:38:05,50.8,45.9
2024-01-12 08:38:10,51.3,45.9
2024-01-12 08:38:15,50.7,45.9
2024-01-12 08:38:20,51.4,45.9
2024-01-12 08:38:25,50.8,45.9
2024-01-12 08:38:30,51.1,45.9
2024-01-12 08:38:35,51.0,45.9
2024-01-12 08:38:40,50.8,45.9
2024-01-12 08:38:45,50.8,45.9
2024-01-12 08:38:50,50.8,45.9
2024-01-12 08:38:55,50.8,45.9
2024-01-12 08:39:00,50.5,45.9
2024-01-12 08:39:05,50.9,45.9
2024-01-12 08:39:10,51.1,45.9
2024-01-12 08:39:15,50.7,45.9
2024-01-12 08:39:20,51.1,45.9
2024-01-12 08:39:25,50.7,45.9
2024-01-12 08:39:30,50.7,45.9
2024-01-12 08:39:35,50.8,45.9
2024-01-12 08:39:40,50.8,45.9
2024-01-12 08:39:45,50.6,45.9
2024-01-12 08:39:50,50.6,45.9
2024-01-12 08:39:55,50.9,45.9
2024-01-12 08:40:00,50.6,45.9
2024-01-12 08:40:05,50.8,45.9
2024-01-12 08:40:10,50.7,45.9
2024-01-12 08:40:15,51.3,46.0
2024-01-12 08:40:20,51.3,46.0
2024-01-12 08:40:25,50.8,46.0
2024-01-12 08:40:30,50.8,45.9
2024-01-12 08:40:35,50.5,45.9
2024-01-12 08:40:40,50.5,45.9
2024-01-12 08:40:45,51.0,45.9
2024-01-12 08:40:50,50.7,45.9
2024-01-12 08:40:55,50.8,45.9
2024-01-12 08:41:00,51.3,45.9
2024-01-12 08:41:05,51.1,45.9
2024-01-12 08:41:10,50.7,45.9
2024-01-12 08:41:15,50.9,45.9
2024-01-12 08:41:20,50.6,45.9
2024-01-12 08:41:25,51.0,45.9
2024-01-12 08:41:30,51.0,45.9
2024-01-12 08:41:35,50.7,45.9
2024-01-12 08:41:40,51.2,45.9
2024-01-12 08:41:45,51.5,45.9
2024-01-12 08:41:50,50.5,45.9
2024-01-12 08:41:55,51.0,45.9
2024-01-12 08:42:00,50.7,45.8
2024-01-12 08:42:05,50.8,45.9
2024-01-12 08:42:10,50.6,45.9
2024-01-12 08:42:15,51.0,45.9
2024-01-12 08:42:20,50.7,45.9
2024-01-12 08:42:25,50.4,45.9
2024-01-12 08:42:30,50.8,45.8
2024-01-12 08:42:35,50.7,45.8
2024-01-12 08:42:40,51.1,45.8
2024-01-12 08:42:45,50.8,45.8
2024-01-12 08:42:50,50.7,45.9
2024-01-12 08:42:55,50.7,45.9
2024-01-12 08:43:00,51.0,45.9
2024-01-12 08:43:05,51.1,45.9
2024-01-12 08:43:10,50.7,45.9
2024-01-12 08:43:15,50.7,45.9
2024-01-12 08:43:20,50.9,45.9
2024-01-12 08:43:25,50.9,45.9
2024-01-12 08:43:30,51.7,45.9
2024-01-12 08:43:35,51.3,45.9
2024-01-12 08:43:40,50.9,45.9
2024-01-12 08:43:45,50.8,45.9
2024-01-12 08:43:50,50.9,45.9
2024-01-12 08:43:55,50.8,45.9
2024-01-12 08:44:00,50.8,45.9
2024-01-12 08:44:05,50.7,45.9
2024-01-12 08:44:10,50.7,45.9
2024-01-12 08:44:15,51.0,45.9
2024-01-12 08:44:20,50.8,45.9
2024-01-12 08:44:25,50.8,45.9
2024-01-12 08:44:30,50.6,45.9
2024-01-12 08:44:35,51.2,45.9
2024-01-12 08:44:40,51.1,45.9
2024-01-12 08:44:45,50.8,45.9
2024-01-12 08:44:50,50.9,45.9
2024-01-12 08:44:55,50.8,45.9
2024-01-12 08:45:00,50.8,45.9
2024-01-12 08:45:05,50.8,45.9
2024-01-12 08:45:10,51.3,45.9
2024-01-12 08:45:15,51.4,45.9
2024-01-12 08:45:20,51.5,45.9
2024-01-12 08:45:25,50.8,45.9
2024-01-12 08:45:30,50.7,45.9
2024-01-12 08:45:35,50.7,45.9
2024-01-12 08:45:40,51.6,45.9
2024-01-12 08:45:45,51.0,45.9
2024-01-12 08:45:50,50.9,45.9
2024-01-12 08:45:55,50.6,45.9
2024-01-12 08:46:00,50.9,45.9
2024-01-12 08:46:05,50.6,45.9
2024-01-12 08:46:10,50.6,45.9
2024-01-12 08:46:15,50.6,45.9
2024-01-12 08:46:20,50.8,45.9
2024-01-12 08:46:25,50.7,45.9
2024-01-12 08:46:30,50.5,45.9
2024-01-12 08:46:35,50.9,45.9
2024-01-12 08:46:40,51.1,45.9
2024-01-12 08:46:45,50.8,45.9
2024-01-12 08:46:50,50.7,46.0
2024-01-12 08:46:55,50.9,46.1
