time,cpu_usage,memory_usage,gpu_usage,gpu_memory_usage
2024-01-17 17:37:07,50.9,69.1,0.08,0.3076171875
2024-01-17 17:37:12,50.8,69.1,0.08,0.3076171875
2024-01-17 17:37:17,51.0,69.2,0.08,0.3076171875
2024-01-17 17:37:22,50.8,69.2,0.08,0.3076171875
2024-01-17 17:37:27,50.8,69.2,0.08,0.3076171875
2024-01-17 17:37:32,51.3,69.1,0.08,0.3076171875
2024-01-17 17:37:37,50.9,69.1,0.08,0.3076171875
2024-01-17 17:37:42,51.3,69.1,0.08,0.3076171875
2024-01-17 17:37:47,44.7,69.1,0.08,0.3076171875
2024-01-17 17:37:52,0.4,69.1,0.08,0.3076171875
2024-01-17 17:37:57,0.3,69.1,0.08,0.3076171875
2024-01-17 17:38:02,0.3,68.9,0.08,0.3076171875
2024-01-17 17:38:07,0.3,68.9,0.08,0.3076171875
2024-01-17 17:38:12,0.2,69.0,0.08,0.3076171875
2024-01-17 17:38:17,9.6,69.0,0.08,0.3076171875
2024-01-17 17:38:22,50.8,69.0,0.08,0.3076171875
2024-01-17 17:38:27,50.8,69.0,0.08,0.3076171875
2024-01-17 17:38:32,50.7,69.1,0.08,0.3076171875
2024-01-17 17:38:37,50.7,69.1,0.08,0.3076171875
2024-01-17 17:38:42,50.7,69.1,0.08,0.3076171875
2024-01-17 17:38:47,50.9,69.1,0.08,0.3076171875
2024-01-17 17:38:52,15.3,69.1,0.08,0.3076171875
2024-01-17 17:38:57,0.3,69.1,0.08,0.3076171875
2024-01-17 17:39:02,0.2,68.9,0.08,0.3076171875
2024-01-17 17:39:07,0.4,69.0,0.08,0.3076171875
2024-01-17 17:39:12,0.5,69.0,0.08,0.3076171875
2024-01-17 17:39:17,0.4,69.0,0.08,0.3076171875
2024-01-17 17:39:22,35.4,69.0,0.08,0.3076171875
2024-01-17 17:39:27,51.0,69.1,0.08,0.3076171875
2024-01-17 17:39:32,50.8,69.1,0.08,0.3076171875
2024-01-17 17:39:37,50.8,69.1,0.08,0.3076171875
2024-01-17 17:39:42,50.9,69.1,0.08,0.3076171875
2024-01-17 17:39:47,50.8,69.1,0.08,0.3076171875
2024-01-17 17:39:52,50.9,69.1,0.08,0.3076171875
2024-01-17 17:39:57,50.5,69.1,0.08,0.3076171875
2024-01-17 17:40:02,50.8,69.1,0.08,0.3076171875
2024-01-17 17:40:07,15.0,69.1,0.08,0.3076171875
2024-01-17 17:40:12,0.3,68.9,0.08,0.3076171875
2024-01-17 17:40:17,0.3,69.0,0.08,0.3076171875
2024-01-17 17:40:22,0.2,68.9,0.08,0.3076171875
2024-01-17 17:40:27,0.3,69.0,0.08,0.3076171875
2024-01-17 17:40:32,21.7,69.1,0.08,0.3076171875
2024-01-17 17:40:37,50.9,69.1,0.08,0.3076171875
2024-01-17 17:40:42,50.7,69.1,0.08,0.3076171875
2024-01-17 17:40:47,50.8,69.1,0.08,0.3076171875
2024-01-17 17:40:52,51.3,69.1,0.08,0.3076171875
2024-01-17 17:40:57,51.1,69.1,0.08,0.3076171875
2024-01-17 17:41:02,50.9,69.1,0.08,0.3076171875
2024-01-17 17:41:07,50.6,69.1,0.08,0.3076171875
2024-01-17 17:41:12,50.9,69.1,0.08,0.3076171875
2024-01-17 17:41:17,50.7,69.1,0.08,0.3076171875
2024-01-17 17:41:22,15.3,69.1,0.08,0.3076171875
2024-01-17 17:41:27,0.3,69.0,0.08,0.3076171875
2024-01-17 17:41:32,0.3,69.0,0.08,0.3076171875
2024-01-17 17:41:37,0.3,69.0,0.08,0.3076171875
2024-01-17 17:41:42,0.3,69.0,0.08,0.3076171875
2024-01-17 17:41:47,37.7,69.1,0.08,0.3076171875
2024-01-17 17:41:52,50.8,69.1,0.08,0.3076171875
2024-01-17 17:41:57,50.7,69.1,0.08,0.3076171875
2024-01-17 17:42:02,50.8,69.1,0.08,0.3076171875
2024-01-17 17:42:07,51.7,69.1,0.08,0.3076171875
2024-01-17 17:42:12,51.0,69.1,0.08,0.3076171875
2024-01-17 17:42:17,51.0,69.1,0.08,0.3076171875
2024-01-17 17:42:22,51.1,69.2,0.08,0.3076171875
2024-01-17 17:42:27,50.9,69.2,0.08,0.3076171875
2024-01-17 17:42:32,50.4,69.1,0.08,0.3076171875
